Unnamed: 0,image_filename,image_caption,image_class
0,image_00001.jpg,a beach with sand dunes,Coast
1,image_00002.jpg,a beach in the Maldives,Coast
2,image_00003.jpg,people sitting on beach chairs with umbrellas,Coast
3,image_00004.jpg,the beautiful town of Polignano a Mare,Coast
4,image_00005.jpg,a beach and the ocean,Coast
5,image_00006.jpg,a girl standing on a rocky beach in Mauritius.,Coast
6,image_00007.jpg,a tropical island in the ocean,Coast
7,image_00008.jpg,a beach in Costa Rica with a blue sky and white clouds,Coast
8,image_00009.jpg,the ocean and green hills in the background,Coast
9,image_00010.jpg,a woman laying on the beach and using her phone.,Coast
10,image_00011.jpg,a white sand beach and turquoise water in the Bahamas,Coast
11,image_00012.jpg,a beautiful blue ocean and a green mountain,Coast
12,image_00013.jpg,a beach and trees at sunset,Coast
13,image_00014.jpg,the beach at the resort,Coast
14,image_00015.jpg,a waterfall and the ocean,Coast
15,image_00016.jpg,"a sign that says ""Hike to the top of the mountain""",Coast
16,image_00017.jpg,a gazebo on a beach,Coast
17,image_00018.jpg,people on a beach in Portugal,Coast
18,image_00019.jpg,the ocean and a person standing on a hill,Coast
19,image_00020.jpg,a white sand beach and turquoise water,Coast
20,image_00021.jpg,a boat on a beach in Thailand,Coast
21,image_00022.jpg,the beautiful city of Polignano a Mare,Coast
22,image_00023.jpg,a beautiful beach in Barbados,Coast
23,image_00024.jpg,"Ruby Beach with text overlay that says Ruby Beach Olympic NP, the most wild and beautiful beaches in washington state",Coast
24,image_00025.jpg,a couple standing on a beach at sunset,Coast
25,image_00026.jpg,a beach in Cornwall,Coast
26,image_00027.jpg,a beach and the ocean,Coast
27,image_00028.jpg,a woman sitting on a beach in a robe.,Coast
28,image_00029.jpg,a beautiful beach in Thailand,Coast
29,image_00030.jpg,women in Zanzibar sitting on the beach,Coast
30,image_00031.jpg,the ocean and sky,Coast
31,image_00032.jpg,a beach with the words free stock photos,Coast
32,image_00033.jpg,a beach in Bali,Coast
33,image_00034.jpg,a beautiful beach in California,Coast
